"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"GEO";"Géographie";"197";"Forbach (partie française)";"AAV2020"
"GEO";"Géographie";"180";"Challans";"AAV2020"
"GEO";"Géographie";"129";"Bergerac";"AAV2020"
"GEO";"Géographie";"149";"Morlaix";"AAV2020"
"GEO";"Géographie";"165";"Orange";"AAV2020"
"GEO";"Géographie";"130";"Montargis";"AAV2020"
"GEO";"Géographie";"181";"Pontarlier";"AAV2020"
"GEO";"Géographie";"150";"Arles";"AAV2020"
"GEO";"Géographie";"198";"Vire Normandie";"AAV2020"
"GEO";"Géographie";"213";"Brignoles";"AAV2020"
"GEO";"Géographie";"131";"Royan";"AAV2020"
"GEO";"Géographie";"199";"Pamiers";"AAV2020"
"GEO";"Géographie";"151";"Thonon-les-Bains";"AAV2020"
"GEO";"Géographie";"182";"Vendôme";"AAV2020"
"GEO";"Géographie";"114";"Dieppe";"AAV2020"
"GEO";"Géographie";"214";"Quimperlé";"AAV2020"
"GEO";"Géographie";"166";"Agde";"AAV2020"
"GEO";"Géographie";"230";"Bernay";"AAV2020"
"GEO";"Géographie";"200";"Sète";"AAV2020"
"GEO";"Géographie";"132";"Lons-le-Saunier";"AAV2020"
"GEO";"Géographie";"152";"Cognac";"AAV2020"
"GEO";"Géographie";"183";"Le Creusot";"AAV2020"
"GEO";"Géographie";"231";"Pornic";"AAV2020"
"GEO";"Géographie";"215";"Argentan";"AAV2020"
"GEO";"Géographie";"115";"Le Puy-en-Velay";"AAV2020"
"GEO";"Géographie";"133";"Saumur";"AAV2020"
"GEO";"Géographie";"201";"Cavaillon";"AAV2020"
"GEO";"Géographie";"153";"Cahors";"AAV2020"
"GEO";"Géographie";"167";"Albertville";"AAV2020"
"GEO";"Géographie";"184";"Longwy";"AAV2020"
"GEO";"Géographie";"232";"Caudry";"AAV2020"
"GEO";"Géographie";"216";"Sedan";"AAV2020"
"GEO";"Géographie";"134";"Dole";"AAV2020"
"GEO";"Géographie";"202";"Montaigu-Vendée";"AAV2020"
"GEO";"Géographie";"154";"Villeneuve-sur-Lot";"AAV2020"
"GEO";"Géographie";"185";"Bagnols-sur-Cèze";"AAV2020"
"GEO";"Géographie";"116";"Alençon";"AAV2020"
"GEO";"Géographie";"233";"Sarlat-la-Canéda";"AAV2020"
"GEO";"Géographie";"168";"Oyonnax";"AAV2020"
"GEO";"Géographie";"248";"Eu";"AAV2020"
"GEO";"Géographie";"217";"Thouars";"AAV2020"
"GEO";"Géographie";"135";"Salon-de-Provence";"AAV2020"
"GEO";"Géographie";"203";"Romorantin-Lanthenay";"AAV2020"
"GEO";"Géographie";"155";"Ancenis-Saint-Géréon";"AAV2020"
"GEO";"Géographie";"249";"Sallanches";"AAV2020"
"GEO";"Géographie";"186";"Granville";"AAV2020"
"GEO";"Géographie";"234";"Avranches";"AAV2020"
"GEO";"Géographie";"218";"Vitry-le-François";"AAV2020"
"GEO";"Géographie";"136";"Laon";"AAV2020"
"GEO";"Géographie";"204";"Fontenay-le-Comte";"AAV2020"
"GEO";"Géographie";"117";"Châtellerault";"AAV2020"
"GEO";"Géographie";"169";"Vitré";"AAV2020"
"GEO";"Géographie";"250";"Val de Briey";"AAV2020"
"GEO";"Géographie";"187";"Dinan";"AAV2020"
"GEO";"Géographie";"235";"Berck";"AAV2020"
"GEO";"Géographie";"205";"Coutances";"AAV2020"
"GEO";"Géographie";"219";"Mayenne";"AAV2020"
"GEO";"Géographie";"118";"Sens";"AAV2020"
"GEO";"Géographie";"188";"Redon";"AAV2020"
"GEO";"Géographie";"267";"Privas";"AAV2020"
"GEO";"Géographie";"251";"Digne-les-Bains";"AAV2020"
"GEO";"Géographie";"236";"Hazebrouck";"AAV2020"
"GEO";"Géographie";"170";"Sarrebourg";"AAV2020"
"GEO";"Géographie";"206";"Tulle";"AAV2020"
"GEO";"Géographie";"220";"Fécamp";"AAV2020"
"GEO";"Géographie";"268";"Castelnaudary";"AAV2020"
